Winner,NumTricks,NAcesP1,NAcesP2,NShuffles,ArtificiallyEnded
Player 1,246,3,1,0,False
Player 1,100001,3,1,0,True
Player 2,410,2,2,0,False
Player 1,100001,1,3,0,True
Player 1,841,3,1,0,False
Player 1,100001,1,3,0,True
Player 2,318,1,3,0,False
Player 1,2508,3,1,0,False
Player 1,1852,2,2,0,False
Player 1,418,3,1,0,False
Player 1,1522,1,3,0,False
Player 2,2466,3,1,0,False
Player 2,1278,1,3,0,False
Player 1,1353,1,3,0,False
Player 2,2518,2,2,0,False
Player 1,3852,2,2,0,False
Player 2,789,1,3,0,False
Player 2,852,3,1,0,False
Player 1,2232,2,2,0,False
Player 1,1907,2,2,0,False
Player 1,730,1,3,0,False
Player 2,482,1,3,0,False
Player 2,5782,2,2,0,False
Player 2,516,2,2,0,False
Player 1,1212,3,1,0,False
Player 1,1799,2,2,0,False
Player 1,1474,3,1,0,False
Player 1,100001,3,1,0,True
Player 2,543,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,1728,4,0,0,False
Player 1,3452,3,1,0,False
Player 1,100001,3,1,0,True
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,100001,3,1,0,True
Player 2,2827,3,1,0,False
Player 1,333,2,2,0,False
Player 2,180,1,3,0,False
Player 2,2094,4,0,0,False
Player 1,253,4,0,0,False
Player 2,3371,3,1,0,False
Player 1,100001,2,2,0,True
Player 1,60,3,1,0,False
Player 1,1588,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,100001,0,4,0,True
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,100001,1,3,0,True
Player 2,1522,1,3,0,False
Player 1,946,1,3,0,False
Player 1,705,3,1,0,False
Player 2,181,1,3,0,False
Player 1,100001,2,2,0,True
Player 1,1606,2,2,0,False
Player 2,722,0,4,0,False
Player 1,100001,2,2,0,True
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,1184,2,2,0,False
Player 1,100001,2,2,0,True
Player 1,100001,3,1,0,True
Player 1,729,1,3,0,False
Player 1,100001,1,3,0,True
Player 1,100001,3,1,0,True
Player 1,1596,2,2,0,False
Player 2,2204,2,2,0,False
Player 1,374,2,2,0,False
Player 2,1568,2,2,0,False
Player 2,941,1,3,0,False
Player 1,100001,4,0,0,True
Player 1,653,2,2,0,False
Player 1,1978,2,2,0,False
